id;title;authors;date;description
9612222;'Strings from IIB Matrices';'Miao Li';'Sat, 21 Dec 1996 18:28:18 -0600 (CST)   (9kb)';'   D-string action is constructed from IIB matrices, a spacetime commutator is essential in this construction. This hints at the central role of the spacetime uncertainty relation in a unified formulation of strings. Vertex operators of fundamental strings are also discussed. '
9612223;'Four-Brane and Six-Brane Interactions in M(atrix) Theory';'Gilad Lifschytz (Princeton University)';'Sun, 22 Dec 1996 13:57:10 -0500   (10kb)';'   We discuss the proposed description of configurations with four-branes and six-branes in m(atrix) theory. Computing the velocity dependent potential between these configurations and gravitons and membranes, we show that they agree with the short distance string results computed in type IIa string theory. Due to the ``closeness'' of these configuration to a supersymmetric configuration the m(atrix) theory reproduces the correct long distance behavior. '
9612224;'From p-branes to Cosmology';'H. Lu, S. Mukherji and C.N. Pope';'Mon, 23 Dec 1996 15:31:24 +0100 (MET)   (22kb)';'   We study the relationship between static p-brane solitons and cosmological solutions of string theory or M-theory. We discuss two different ways in which extremal p-branes can be generalised to non-extremal ones, and show how wide classes of recently discussed cosmological models can be mapped into non-extremal p-brane solutions of one of these two kinds. We also extend previous discussions of cosmological solutions to include some that make use of cosmological-type terms in the effective action that can arise from the generalised dimensional reduction of string theory or M-theory. '
9612225;'Comment on "Dynamical Chern-Simons term generation at finite density"';'Vadim Zeitlin (Lebedev Physical Institute)';'Mon, 23 Dec 1996 15:33:54 +0300 (MSK)   (3kb)';'   We comment on the calculation of the Chern-Simons coefficient in (2+1)-dimensional gauge theories at finite chemical potential made by A.N.Sissakian, O.Yu.Shevchenko and S.B.Solganik (hep-th/9608159 and hep-th/9612140). '
9612226;'The renormalized $\phi^4_4$-trajectory by perturbation theory in a';'Christian Wieczerkowski (University of Muenster)';'Mon, 23 Dec 1996 14:34:31 +0100   (20kb)';'   The renormalized trajectory of massless $\phi^4$-theory on four dimensional Euclidean space-time is investigated as a renormalization group invariant curve in the center manifold of the trivial fixed point, tangent to the $\phi^4$-interaction. We use an exact functional differential equation for its dependence on the running $\phi^4$-coupling. It is solved by means of perturbation theory. The expansion is proved to be finite to all orders. The proof includes a large momentum bound on amputated connected momentum space Green's functions. '
9612228;'On Connes' new principle of general relativity. Can spinors hear the';'Lionel Carminati, Bruno Iochum, Daniel Kastler, Thomas Schucker';'Mon, 23 Dec 1996 18:59:20 +0100 (MET)   (16kb)';'   Connes has extended Einstein's principle of general relativity to noncommutative geometry. The new principle implies that the Dirac operator is covariant with respect to Lorentz and internal gauge transformations and the Dirac operator must include Yukawa couplings. It further implies that the action for the metric, the gauge potentials and the Higgs scalar is coded in the spectrum of the covariant Dirac operator. This ``universal'' action has been computed by Chamseddine & Connes, it is the coupled Einstein-Hilbert and Yang-Mills-Higgs action. This result is rederived and we discuss the physical consequences. '
9612229;'Rotating Intersecting M-Branes';'Mirjam Cvetic and Donam Youm';'Mon, 23 Dec 1996 19:50:08 -0500 (EST)   (20kb)';'   We present intersecting p-brane solutions of eleven-dimensional supergravity (M-branes) which upon toroidal compactification reduce to non-extreme ``rotating'' black holes. We identify harmonic functions, associated with each M-brane, and non-extremality functions, specifying a deviation from the BPS limit. These functions are modified due to the angular momentum parameters, which specify the rotation along the transverse directions of the M-branes. We spell out the intersection rules for the eleven-dimensional space-time metric for intersecting (up to three) rotating M-brane configurations (and a boost along the common intersecting direction). '
9612230;'The Geometry of Self-Dual Gauge Fields';'A. H. Bilge, T. Dereli, \c{S}. Ko\c{c}ak';'Tue, 24 Dec 1996 09:22:19 +0200 (EET)   (10kb)';'   Self-dual 2-forms in D=2n dimensions are characterised by an eigenvalue criterion. The equivalence of various definitions of self-duality is proven. We show that the self-dual 2-forms determine a n^2-n+1 dimensional manifold S_{2n} and the dimension of the maximal linear subspaces of S_{2n}$ is equal to the Radon-Hurwitz number of linearly independent vector fields on the sphere S^{2n-1}. The relation between the maximal linear subspaces and the representations of Clifford algebras is noted. A general procedure based on this relation for the explicit construction of linearly self-dual 2-forms is given. The construction of the octonionic instanton solution in D=8 dimensions is discussed. '
9612231;'On Mass-Deformed N=4 Supersymmetric Yang-Mills Theory';'N. Dorey (Swansea), V.V. Khoze (Durham), M.P. Mattis (Los Alamos)';'Tue, 24 Dec 96 12:27:19 -0700   (15kb)';'   We construct the n-instanton action for the above model with gauge group SU(2), as a function of the collective coordinates of the general self-dual configurations of Atiyah, Drinfeld, Hitchin and Manin (ADHM). We calculate the quantum modulus u = <Tr(A^2)> at the 1-instanton level, and find a discrepancy with Seiberg and Witten's proposed exact solution. As in related models (N=2, N_F=3 or 4), this discrepancy may be resolved by modifying their proposed relation between $\tilde u$ (the parameter in the elliptic curve) and u. '
9612232;'O(d, d)-Symmetry and Ernst Formulation for Einstein-Kalb-Ramond Theory';'A. Herrera and O. Kechkin';'Tue, 24 Dec 1996 22:11:01 +0300 (MSD )   (5kb)';'   The (3+d)-dimensional Einstein-Kalb-Ramond theory reduced to two dimensions is considered. It is shown that the theory allows two different Ernst-like $d \times d$ matrix formulations: the real non-dualized target space and the Hermitian dualized non-target space ones. The O(d, d) symmetry is written in a SL(2,R) matrix-valued form in both cases. The Kramer-Neugebauer transformation, which algebraically maps the non-dualized Ernst potential into the dualized one, is presented. '
9612233;'Virasoro-type Symmetries in Solvable Models';'H. Awata, H. Kubo, S. Odake and J. Shiraishi';'Wed, 25 Dec 1996 17:23:53 +0900   (37kb)';'   Virasoro-type symmetries and their roles in solvable models are reviewed. These symmetries are described by the two-parameter Virasoro-type algebra $Vir_{p,q}$ by choosing the parameters p and q suitably. '
9612234;'Vertex Operators for Super Yang-Mills and Multi D-Branes in';'K. Hamada';'Thu, 26 Dec 1996 16:27:19 +0900   (12kb)';'   We study vertex operators for super Yang-Mills and multi D-branes in covariant form using Green-Schwarz formalism. We introduce the contact terms naturally and prove space-time supersymmetry and gauge invariance. The nonlinear realization of broken supersymmetry in the presence of D-branes is also discussed. The shift of fermionic coordinate \delta^{(-)}\Psi =\eta becomes exact symmetry of D-brane in the static gauge, where $\eta$ is a constant spinor in U(1) direction. '
9612235;'A $\hbar$-deformed Virasoro Algebra as Hidden Symmetry of the Restricted';'Bo-yu Hou, Wen-li Yang';'Thu, 26 Dec 96 15:11:05 CST   (7kb)';'   As the Yangian double with center,which is deformed from affine algebra by the additive loop parameter $\hbar$ ,we get the commuting relation and the bosonization of quantum $\hbar$-deformed Virasoro algebra. The corresponding Miura transformation, associated screening operators and the BRST charge have been studied. Moreover, we also constructe the bosonization for type I and type II intertwiner vertex operators. Finally, we show that the commuting relation of these vertex operators in the case of $p'=r p=r-1$ and $\hbar =\pi$ actually gives the exact scattering matrix of the Restricted sine-Gordon model. '
9612236;'Incidence Matrix Description of Intersecting p-brane Solutions';'I.Ya.Aref'eva and O.A.Rytchkov';'Thu, 26 Dec 1996 15:27:12 +0100 (MET)   (21kb)';'   An algebraic method for a general construction of intersecting p-brane solutions in diverse spacetime dimensions is discussed. An incidence matrix describing configurations of electric and magnetic fields is introduced. Intersecting p-branes are specified by solutions of a system of characteristic algebraic equations for the incidence matrix. This set of characteristic equations generalizes a single characteristic equation found before for a special "flower" ansatz. The characteristic equations admit solutions only for quantized values of scalar coupling parameters. A wide list of examples including solutions with regular horizons and non-zero entropy in D=11 and D=10 theories is presented. '
9612237;'Renormalization group approach to multiple-arc random matrix models';'S. Higuchi, C. Itoi, S. M. Nishigaki, N. Sakai';'Thu, 26 Dec 1996 16:23:23 +0100   (17kb)';'   We study critical and universal behaviors of unitary invariant non-gaussian random matrix ensembles within the framework of the large-N renormalization group. For a simple double-well model we find an unstable fixed point and a stable inverse-gaussian fixed point. The former is identified as the critical point of single/double-arc phase transition with a discontinuity of the third derivative of the free energy. The latter signifies a novel universality of large-N correlators other than the usual single arc type. This phase structure is consistent with the universality classification of two-level correlators for multiple-arc models by Ambjorn and Akemann. We also establish the stability of the gaussian fixed point in the multi-coupling model. '
9612238;'Branes and integrability in the N=2 SUSY YM theory';'Alexander Gorsky';'Thu, 26 Dec 1996 20:46:38 EET   (8kb)';'   We suggest the brane interpretation of the integrable dynamics behind the exact solution to the N=2 SUSY YM theory. Degrees of freedom of the Calogero type integrable system responsible for the appearance of the spectral Riemann surfaces originate from the collective coordinates of the dynamical branes. The second Whitham type integrable system corresponds to the low energy scattering of branes similar to the scattering of the magnetic monopoles. '
9612239;'Mirror Symmetry and the Web of Landau-Ginzburg String Vacua';'Hitoshi Sato';'Fri, 27 Dec 96 13:05:11 +0900   (17kb)';'   We present some mathematical aspects of Landau-Ginzburg string vacua in terms of toric geometry. The one-to-one correspondence between toric divisors and some of (-1,1) states in Landau-Ginzburg model is presented for superpotentials of typical types. The Landau-Ginzburg interpretation of non-toric divisors is also presented. Using this interpretation, we propose a method to solve the so-called "twisted sector problem" by orbifold construction. Moreover,this construction shows that the moduli spaces of the original Landau-Ginzburg string vacua and their orbifolds are connected. By considering the mirror map of Landau-Ginzburg models, we obtain the relation between Mori vectors and the twist operators of our orbifoldization. This consideration enables us to argue the embedding of the Seiberg-Witten curve in the defining equation of the Calabi-Yau manifoulds on which the type II string gets compactified. Related topics concerning the Calabi-Yau fourfolds and the extremal transition are discussed. '
9612240;'On Explicit Evaluations Around the Conformal Point in N=2 Supersymmetric';'Takahiro Masuda, Hisao Suzuki (Hokkaido University)';'Fri, 27 Dec 96 13:44:52 JST   (18kb)';'   We show how to give the expression for periods, Higgs field and its dual of N=2 supersymmetric Yang-Mills theory around the conformal point. This is achieved by evaluating the integral representation in the weak coupling region, and by using analytic continuation to the conformal point. The explicit representation is shown for the SU(2) theory with matter fields and also for pure SU(N) and pure SO(2N) theory around the conformal point where the relation to the beta function of the theory is clarified. We also discuss a relation between the fixed points in the SU(2) theories with matter fields and the Landau-Ginzburg point of 2-D N=2 SCFT. '
9612241;'On the Integrability Aspects of the Self Dual Membrane';'Carlos Castro';'Fri, 27 Dec 1996 00:12:32 -0600   (47kb)';'   The exact quantum integrability aspects of a sector of the membrane is investigated. It is found that spherical membranes moving in flat target spacetime backgrounds admit a class of integrable solutions linked to SU(infty) SDYM equations (dimensionally reduced to one temporal dimension). After a suitable ansatz, the SDYM equations can be recast in the form of the continuous Toda molecule equations whose symmetry algebra is the dimensional reduction of the W (infty} plus {\bar W}(infty} algebra. The latter algebra is explicitly constructed. Highest weight representations are built directly from the infinite number of defining relations among the highest weight states of W(\infty) algebras and the quantum states of the Toda molecule. Discrete states are also constructed. The full (dimensionaly reduced) quantum SU(infty) YM theory remains to be explored. '
9612242;'Universal correlations in random matrices: quantum chaos, the $1/r^2$';'Sanjay Jain (Indian Institute of Science)';'Thu, 26 Dec 1996 19:43:06 +0600 (GMT+0600)   (20kb)';'   Random matrix theory (RMT) provides a common mathematical formulation of distinct physical questions in three different areas: quantum chaos, the 1-d integrable model with the $1/r^2$ interaction (the Calogero-Sutherland-Moser system), and 2-d quantum gravity. We review the connection of RMT with these areas. We also discuss the method of loop equations for determining correlation functions in RMT, and smoothed global eigenvalue correlators in the 2-matrix model for gaussian orthogonal, unitary and symplectic ensembles. '
9612243;'The Paths of Unification In The GUST With The G x G Gauge Groups of E(8)';'A. Maslikov (2), I. Naumov (2), G. Volkov (1,2) ((1) INFN Sezione di';'Sat, 28 Dec 1996 01:19:40 GMT+03:00   (25kb)';'   In the framework of the four dimensional heterotic superstring with free fermions we discuss the rank eight and/or sixteen Grand Unified String Theories (GUST) which contain the SU(3)_H - gauge family symmetry. We explicitly investigate the paths of the unification in the GUST with gauge symmetry G x G = [SU(5) x U(1) x (SU(3) x U(1))_H]^2. We show that the GUSTs with the G x G gauge group allow to make the scale of unification to be consistent with the string scale M_SU = g_{string} * 5 * 10^17 GeV. '
9612244;'Fermion Ground State of Three Particles in a Harmonic Potential Well and';'Chaiho Rim';'Sat, 28 Dec 1996 13:07:54 JST   (8kb)';'   We examine the detail of the analytic structure of an exact analytic solution of three anyons, which interpolates to the fermion ground state in a harmonic potential well. The analysis is done on the fundamental domain with appropriate boundary conditions. Some remarks on the hard-core conditions and self-adjointness are made. '
9612245;'Super--Toda Models Associated to Any (super--)Lie Algebras';'F. Toppan';'Sun, 29 Dec 1996 9:39:29 +0100 (WET)   (9kb)';'   It is shown how to obtain superconformal Toda models as reductions of WZNW theories based on any Lie or super--Lie algebra. '
9612246;'Topology Change and theta-Vacua in 2D Yang-Mills Theory';'Tom D. Imbo and P. Teotonio-Sobrinho';'Sun, 29 Dec 1996 14:48:20 MST   (26kb)';'   We discuss the existence of $\theta$-vacua in pure Yang-Mills theory in two space-time dimensions. More precisely, a procedure is given which allows one to classify the distinct quantum theories possessing the same classical limit for an arbitrary connected gauge group G and compact space-time manifold M (possibly with boundary) possessing a special basepoint. For any such G and M it is shown that the above quantizations are in one-to-one correspondence with the irreducible unitary representations (IUR's) of $\pi_1(G)$ if M is orientable, and with the IUR's of $\pi_1(G)/2\pi_1(G)$ if M is nonorientable. '
9612247;'Anomalous Defects and Their Quantized Transverse Conductivities';'A.P. Balachandran, V. John, Arshad Momen and F. Moraes';'Sun, 29 Dec 96 16:52:48 -0500   (26kb)';'   Using a description of defects in solids in terms of three-dimensional gravity, we study the propagation of electrons in the background of disclinations and screw dislocations. We study the situations where there are bound states that are effectively localized on the defect and hence can be described in terms of an effective 1+1 dimensional field theory for the low energy excitations. In the case of screw dislocations, we find that these excitations are chiral and can be described by an effective field theory of chiral fermions. Fermions of both chirality occur even for a given direction of the magnetic field. The ``net'' chirality of the system however is not always the same for a given direction of the magnetic field, but changes from one sign of the chirality through zero to the other sign as the Fermi momentum or the magnitude of the magnetic flux is varied. On coupling to an external electromagnetic field, the latter becomes anomalous, and predicts novel conduction properties for these materials. '
9612248;'Wavy Strings: Black or Bright?';'Nemanja Kaloper, Robert C. Myers and Harold Roussel';'Sun, 29 Dec 1996 23:29:57 -0500 (EST)   (39kb)';'   Recent developments in string theory have brought forth a considerable interest in time-dependent hair on extended objects. This novel new hair is typically characterized by a wave profile along the horizon and angular momentum quantum numbers $l,m$ in the transverse space. In this work, we present an extensive treatment of such oscillating black objects, focusing on their geometric properties. We first give a theorem of purely geometric nature, stating that such wavy hair cannot be detected by any scalar invariant built out of the curvature and/or matter fields. However, we show that the tidal forces detected by an infalling observer diverge at the `horizon' of a black string superposed with a vibration in any mode with $l \ge 1$. The same argument applied to longitudinal ($l=0$) waves detects only finite tidal forces. We also provide an example with a manifestly smooth metric, proving that at least a certain class of these longitudinal waves have regular horizons. '
9612249;'Classical instanton and wormhole solutions of Type IIB string theory';'Jin Young Kim (Dongseo University), H.W. Lee and Y.S. Myung (Inje';'Mon, 30 Dec 1996 14:00:42 +0900 (KST)   (9kb)';'   We study $p=-1$ D-brane in type IIB superstring theory. In addition to RR instanton, we obtain the RR charged wormhole solution in the Einstein frame. This corresponds to the ten-dimensional singular wormhole solution with infinite euclidean action. '
9612250;'Gauge Independence in terms of the Functional Integral';'T. Kashiwa and N. Tanimura (Kyushu Univ. Fukuoka, Japan)';'Tue, 31 Dec 1996 04:52:07 +0900   (175kb)';'   Among various approaches in proving gauge independence, models containing an explicit gauge dependence are convenient. The well-known example is the gauge parameter in the covariant gauge fixing which is of course most suitable for the perturbation theory but a negative metric prevents us from imaging a dynamical picture. Noncovariant gauge such as the Coulomb gauge is on the contrary used for many physical situations. Therefore it is desirable to include both cases. More than ten years ago, Steinmann introduced a function (distribution) which can play this role in his attempt on discussing quantum electrodynamics (QED) in terms of the gauge invariant fields solely. The method is, however, broken down in the covariant case: the invariant operators are ill-defined because of 1/p^2 singularity in the Minkowski space. In this paper, we apply his function to the path integral: utilizing the arbitrariness of the function we first restrict it to be able to have a well- defined operator, and then a Hamiltonian with which we can build up the (Euclidean) path integral formula. Although the formula is far from covariant, a full covariant expression is recovered by reviving the components which have been discarded under the construction of the Hamiltonian. There is no pathological defects contrary to the operator formalism. With the aid of the path integral formula, the gauge independence of the free energy as well as the S-matrix is proved. Moreover the reason is clarified why it is so simple and straightforward to argue gauge transformations in the path integral. Discussions on the quark confinement is also presented. '
9612251;'D-brane Configurations and Nicolai Map in Supersymmetric Yang-Mills';'I.I. Kogan, G.W. Semenoff and R.J. Szabo';'Mon, 30 Dec 1996 21:05:42 GMT   (12kb)';'   We discuss some properties of a supersymmetric matrix model that is the dimensional reduction of supersymmetric Yang-Mills theory in ten dimensions and which has been recently argued to represent the short-distance structure of M theory in the infinite momentum frame. We describe a reduced version of the matrix quantum mechanics and derive the Nicolai map of the simplified supersymmetric matrix model. We use this to argue that there are no phase transitions in the large-N limit, and hence that S-duality is preserved in the full eleven dimensional theory. '
9612252;'Completely Integrable Equation for the Quantum Correlation Function of';'T. Kojima, V. Korepin and N. Slavnov';'Tue, 31 Dec 96 07:17:12 JST   (14kb)';'   Correlation functions of exactly solvable models can be described by differential equation [Barough, McCoy, Wu]. In this paper we show that for non free fermionic case differential equations should be replaced by integro-differential equations.   We derive an integro-differential equation, which describes time and temperature dependent correlation function $<\psi(0,0)\psi^\dagger(x,t)>_T$ of penetrable Bose gas. The integro-differential equation turns out be the continuum generalization of classical nonlinear Schr\"odinger equation. '
9612253;'Supertraces on the algebra of observables of the rational Calogero model';'S. E. Konstein';'Tue, 31 Dec 1996 19:13:09 +0300   (10kb)';'   A complete set of supertraces on the algebras of observables of the rational Calogero models with harmonic interaction based on the classical root systems of B_N, C_N and D_N types is found. These results extend the results known for the case A_N. It is shown that there exist Q independent supertraces where Q(B_N)=Q(C_N) is a number of partitions of N into a sum of positive integers and Q(D_N) is a number of partitions of N into a sum of positive integers with even number of even integers. '
9612254;'TASI Lectures on Perturbative String Theories';'Hirosi Ooguri and Zheng Yin';'Mon, 30 Dec 1996 17:07:56 -0800   (156kb)';'   These lecture notes are based on a course on string theories given by Hirosi Ooguri in the first week of TASI 96 Summer School at Boulder, Colorado. It is an introductory course designed to provide students with minimum knowledge before they attend more advanced courses on non-perturbative aspects of string theories in the School. The course consists of five lectures: 1. Bosonic String, 2. Toroidal Compactifications, 3. Superstrings, 4. Heterotic Strings, and 5. Orbifold Compactifications. '
9612255;'Novel algebraic structures from the polysymplectic form in field theory';'I. V. Kanatchikov';'Tue, 31 Dec 1996 21:57:26 +0100 (MET)   (10kb)';'   The polysymplectic $(n+1)$-form is introduced as an analogue of the symplectic form for the De Donder-Weyl polymomentum Hamiltonian formulation of field theory. The corresponding Poisson brackets on differential forms are constructed. The analogues of the Poisson algebra are shown to be generalized (non-commutative and higher-order) Gerstenhaber algebras defined in the text. '
9702201;'Lectures on Strings and Dualities';'Cumrun Vafa';'Thu, 27 Feb 97 14:08:11 -0500   (42kb)';'   In this set of lectures I review recent developments in string theory emphasizing their non-perturbative aspects and their recently discovered duality symmetries. The goal of the lectures is to make the recent exciting developments in string theory accessible to those with no previous background in string theory who wish to join the research effort in this area. Topics covered include a brief review of string theory, its compactifications, solitons and D-branes, black hole entropy and web of string dualities. (Lectures presented at ICTP summer school, June 1996) '
9702202;'Hyper-Kahler manifolds and multiply-intersecting branes';'J.P. Gauntlett, G.W. Gibbons, G. Papadopoulos and P.K. Townsend';'Thu, 27 Feb 97 19:16:03 GMT   (27kb)';'   Generalized membrane solutions of D=11 supergravity, for which the transverse space is a toric hyper-K{\" a}hler manifold, are shown to have IIB duals representing the intersection of parallel 3-branes with 5-branes whose orientations are determined by their $Sl(2;\bZ)$ charge vectors. These IIB solutions, which generically preserve 3/16 of the supersymmetry, can be further mapped to solutions of D=11 supergravity representing the intersection of parallel membranes with any number of fivebranes at arbitrary angles. Alternatively, a subclass (corresponding to non-singular D=11 solutions) can be mapped to solutions representing the intersection on a string of any number of D-5-branes at arbitrary angles, again preserving 3/16 supersymmetry, as we verify in a special case by a quaternionic extension of the analysis of Berkooz, Douglas and Leigh. We also use similar methods to find new 1/8 supersymmetric solutions of orthogonally intersecting branes. '
9702203;'Issues in M(atrix) Theory Compactification';'Michael R. Douglas, Hirosi Ooguri and Stephen H. Shenker';'Thu, 27 Feb 1997 17:15:48 -0500   (12kb)';'   We discuss issues concerning M(atrix) theory compactifications on curved spaces. We argue from the form of the graviton propagator on curved space that excited string states do not decouple from the annulus D0-brane $v^4$ amplitude, unlike the flat space case. This argument shows that a large class of quantum mechanical systems with a finite number of degrees of freedom cannot reproduce supergravity answers. We discuss the specific example of an ALE space and suggest sources of possible higher derivative terms that might help reproduce supergravity results. '
9702204;'On the Wavefunctional for Two Heavy Color Sources in Yang-Mills Theory';'Peter E. Haagensen and Kenneth Johnson';'Thu, 27 Feb 1997 18:17:23 -0500 (EST)   (16kb)';'   In an abelian gauge theory, the Coulombic potential between two static charges is obtained most directly when a correct separation between gauge-invariant and gauge degrees of freedom is made. This motivates a similar separation in the nonabelian theory. When a careful identification of the Hilbert space is made, along with the proper analyticity requirements, it is then possible to find the appropriate wavefunctionals describing heavy color sources in the theory. This treatment is consistent with, and realizes in a simple way the center symmetry Z_N of SU(N) gauge theories. '
9702205;'BPS-Saturated Bound States of Tilted P-Branes in Type II String Theory';'Klaus Behrndt, Mirjam Cvetic';'Thu, 27 Feb 97 20:05:33 -0500   (25kb)';'   We found BPS-saturated solutions of M-theory and Type II string theory which correspond to (non-marginally) bound states of p-branes intersecting at angles different from pi/2. These solutions are obtained by starting with a BPS marginally bound (orthogonally) intersecting configurations of two p-branes (e.g, two four-branes of Type II string theory), performing a boost transformation at an angle with respect to the world-volume of the configuration, performing T-duality transformation along the boost-direction, S-duality transformation, and T- transformations along the direction perpendicular to the boost transformation. The resulting configuration is non-marginally bound BPS-saturated solution whose static metric possesses the off-diagonal term which cannot be removed by a coordinate transformation, and thus signifies an angle (different from pi/2) between the resulting intersecting p-branes. Additional new p-branes are bound to this configuration, in order to ensure the stability of such a static, tilted configuration. '
9703201;'A Note on the Transverse Five-Brane in M(atrix) Theory';'Gilad Lifschytz (Princeton University)';'Thu, 27 Mar 1997 15:52:14 -0500   (10kb)';'   We describe a way to compute scattering amplitudes in M(atrix) quantum mechanics, that involve the transverse five-brane. We then compute certain scattering processes and show that they have the expected SO(5) invariance, give the correct transverse-five-brane mass, and agree with the supergravity result. '
9703202;'Higgs Mechanism in String Theory';'Jonathan Bagger and Ioannis Giannakis';'Thu, 27 Mar 97 15:51:14 -0500   (11kb)';'   In first-quantized string theory, spacetime symmetries are described by inner automorphisms of the underlying conformal field theory. In this paper we use this approach to illustrate the Higgs effect in string theory. We consider string propagation on M^{24,1} \times S^1, where the circle has radius R, and study SU(2) symmetry breaking as R moves away from its critical value. We find a gauge-covariant equation of motion for the broken-symmetry gauge bosons and the would-be Goldstone bosons. We show that the Goldstone bosons can be eliminated by an appropriate gauge transformation. In this unitary gauge, the Goldstone bosons become the longitudinal components of massive gauge bosons. '
9703203;'Universal Hidden Supersymmetry in Classical Mechanics and its Local';'Ennio Gozzi';'Thu, 27 Mar 1997 23:59:31 GMT   (8kb)';'   We review here a path-integral approach to classical mechanics and explore the geometrical meaning of this construction. In particular we bring to light a universal hidden BRS invariance and its geometrical relevance for the Cartan calculus on symplectic manifolds. Together with this BRS invariance we also show the presence of a universal hidden genuine non-relativistic supersymmetry. In an attempt to understand its geometry we make this susy local following the analogous construction done for the supersymmetric quantum mechanics of Witten. '
9703204;'Non-threshold D-brane bound states and black holes with non-zero entropy';'Miguel S. Costa and Mirjam Cvetic';'Thu, 27 Mar 97 19:54:25 -0500   (15kb)';'   We start with BPS-saturated configurations of two (orthogonally) intersecting M-branes and use the electro-magnetic duality or dimensional reduction along a boost, in order to obtain new p-brane bound states. In the first case the resulting configurations are interpreted as BPS-saturated non-threshold bound states of intersecting p-branes, and in the second case as p-branes intersecting at angles and their duals. As a by-product we deduce the enhancement of supersymmetry as the angle approaches zero. We also comment on the D-brane theory describing these new bound states, and a connection between the angle and the world-volume gauge fields of the D-brane system. We use these configurations to find new embeddings of the four and five dimensional black holes with non-zero entropy, whose entropy now also depends on the angle and world-volume gauge fields. The corresponding D-brane configuration sheds light on the microscopic entropy of such black holes. '
9703206;'Systematics of string loop threshold corrections in orbifold models';'Marc Chemtob';'Fri, 28 Mar 1997 10:27:34 +0100   (86kb)';'   String theory one-loop threshold corrections are studied in a background field approach due to Kiritsis and Kounnas which uses space-time curvature as an infrared regulator. We review the conformal field theory aspects using the semiwormhole space-time solution. The comparison of string and effective field theories vacuum functionals is made for the low derivative order, as well as for certain higher-derivative, gauge and gravitational interactions. We study the dependence on the infrared cut-off. Numerical applications are considered for a sample of four-dimensional abelian orbifold models. The implications on the perturbative string theory unification are examined. We present numerical results for the gauge interactions coupling constants as well as for the quadratic order gravitational ($R^2$) and the quartic order gauge ($F^4$) interactions. '
9703207;'Bosonic Super Liouville System: Lax Pair and Solution';'Liu Zhao, Changzheng Qu';'Fri, 28 Mar 97 17:58:06 CST   (8kb)';'   We study the bosonic super Liouville system which is a statistical transmutation of super Liouville system. Lax pair for the bosonic super Liouville system is constructed using prolongation method, ensuring the Lax integrability, and the solution to the equations of motion is also considered via Leznov-Saveliev analysis. '
9703208;'A note on T^5/Z_2 compactification of the M-theory matrix model';'Ansar Fayyazuddin and Douglas J. Smith';'Sat, 29 Mar 1997 09:09:12 MST   (6kb)';'   We study the T^5/Z_2 orbifold compactification of the M-theory matrix model. This model was originally studied by Dasgupta, Mukhi, and Witten. It was found that one had to add 16 5-branes to the system to make the compactification consistent. We demonstrate how this is mimicked in the matrix model. '
9703209;'Matrix Strings in Two-dimensional Yang-Mills Theory';'Ian I. Kogan and Richard J. Szabo';'Sat, 29 Mar 1997 12:15:16 GMT   (17kb)';'   We describe the structure of string vacuum states in the supersymmetric matrix model for M theory compactified on a circle in the large-N limit. We show that the theory admits topological instanton field configurations which at short-distance scales reduce to ordinary Yang-Mills instantons that interpolate between degenerate vacua of the theory. We show that there exists further classes of hadronic strings associated with the D-string super-fields. We discuss the relationships between these non-perturbative string states and rigid QCD strings, critical strings, and membrane states. '
9703210;'Orientifolds, Branes, and Duality of 4D Gauge Theories';'Nick Evans, Clifford V. Johnson, Alfred D. Shapere';'Fri, 28 Mar 1997 15:12:31 -0500   (27kb)';'   Recently, a D-brane construction in type IIA string theory was shown to yield the electric/magnetic duality of four dimensional N=1 supersymmetric U(N_c) gauge theories with N_f flavours of quark. We present here an extension of that construction which yields the electric/magnetic duality for the SO(N_c) and USp(N_c) gauge theories with N_f quarks, by adding an orientifold plane which is consistent with the supersymmetry. Due to the intersection of the orientifold plane with the NS-NS fivebranes already present, new features arise which are crucial in determining the correct final structure of the dualities. '
9703211;'Matrix Black Holes';'Miao Li and Emil Martinec}';'Fri, 28 Mar 1997 14:33:28 -0600 (CST)   (21kb)';'   Four and five dimensional extremal black holes with nonzero entropy have simple presentations in M-theory as gravitational waves bound to configurations of intersecting M-branes. We discuss realizations of these objects in matrix models of M-theory, investigate the properties of zero-brane probes, and propose a measure of their internal density. A scenario for black hole dynamics is presented. '
9703212;'A 1D Model for N-level Atoms Coupled to an EM Field';'Z. S. Bassi and A. LeClair';'Fri, 28 Mar 1997 17:32:33 -0500   (8kb)';'   We construct a model for n-level atoms coupled to quantized electromagnetic fields in a fibrillar geometry. In the slowly varying envelope and rotating wave approximations, the equations of motion are shown to satisfy a zero curvature representation, implying integrability of the quantum system. '
